player,Tree with gini,Tree with gini and impurity decrease,Tree with entropy,Tree with entropy and impurity decrease,Small NN with lbfgs,Medium NN with lbfgs,Mixed NN with lbfgs,Big NN with lbfgs,Small NN with adam,Medium NN with adam,Mixed NN with adam,Big NN with adam,K-Neighbors (2 groups),K-Neighbors (3 groups),K-Neighbors (5 groups),K-Neighbors (8 groups),Linear Division SVC,Polynomial  Division SVC,RBF Division SVC,Naive bayes assuming Gaussian,Random Forest with gini (3 trees),Random Forest with gini (5 trees),Random Forest with gini (10 trees),Random Forest with entropy (3 trees),Random Forest with entropy (5 trees),Random Forest with entropy (10 trees)
23,0.7699115044247787,0.5752212389380531,0.7699115044247787,0.5752212389380531,0.5752212389380531,0.6017699115044248,0.7522123893805309,0.7345132743362832,0.5752212389380531,0.7610619469026548,0.7699115044247787,0.7610619469026548,0.7345132743362832,0.7522123893805309,0.7168141592920354,0.7522123893805309,0.7433628318584071,0.7079646017699115,0.7522123893805309,0.6902654867256637,0.6814159292035398,0.672566371681416,0.7433628318584071,0.7433628318584071,0.7522123893805309,0.6637168141592921
25,0.7741935483870968,0.5403225806451613,0.8548387096774194,0.8548387096774194,0.5645161290322581,0.5645161290322581,0.8548387096774194,0.8306451612903226,0.4596774193548387,0.5403225806451613,0.5403225806451613,0.8387096774193549,0.7983870967741935,0.8064516129032258,0.8145161290322581,0.717741935483871,0.8790322580645161,0.7096774193548387,0.8548387096774194,0.8790322580645161,0.8306451612903226,0.8064516129032258,0.8467741935483871,0.8306451612903226,0.7661290322580645,0.8064516129032258
26,0.7411764705882353,0.49411764705882355,0.7411764705882353,0.7411764705882353,0.49411764705882355,0.7764705882352941,0.7647058823529411,0.7647058823529411,0.5058823529411764,0.6588235294117647,0.49411764705882355,0.7411764705882353,0.6823529411764706,0.7529411764705882,0.7058823529411765,0.6588235294117647,0.7529411764705882,0.788235294117647,0.7529411764705882,0.7176470588235294,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7411764705882353,0.7294117647058823,0.7647058823529411
24,0.631578947368421,0.5789473684210527,0.7368421052631579,0.5789473684210527,0.5789473684210527,0.631578947368421,0.5789473684210527,0.6052631578947368,0.42105263157894735,0.39473684210526316,0.39473684210526316,0.631578947368421,0.5789473684210527,0.5789473684210527,0.6578947368421053,0.6052631578947368,0.6578947368421053,0.7368421052631579,0.631578947368421,0.6052631578947368,0.5789473684210527,0.7105263157894737,0.6052631578947368,0.5526315789473685,0.7368421052631579,0.6052631578947368
28,0.6875,0.75,0.5625,0.5625,0.4375,0.8125,0.5,0.75,0.5,0.5,0.5625,0.75,0.5,0.5,0.5,0.4375,0.6875,0.75,0.8125,0.75,0.5625,0.75,0.625,0.625,0.5625,0.6875
34,0.765625,0.765625,0.765625,0.765625,0.46875,0.78125,0.765625,0.765625,0.5625,0.734375,0.765625,0.734375,0.828125,0.71875,0.765625,0.65625,0.765625,0.8125,0.765625,0.734375,0.78125,0.796875,0.796875,0.828125,0.78125,0.765625
29,0.75,0.5227272727272727,0.75,0.5227272727272727,0.5340909090909091,0.75,0.6477272727272727,0.75,0.4772727272727273,0.5909090909090909,0.6022727272727273,0.7272727272727273,0.8068181818181818,0.7386363636363636,0.7727272727272727,0.7613636363636364,0.7386363636363636,0.7954545454545454,0.7272727272727273,0.7272727272727273,0.7045454545454546,0.7954545454545454,0.8409090909090909,0.7386363636363636,0.7613636363636364,0.7613636363636364
38,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6585365853658537,0.6829268292682927,0.7073170731707317,0.6341463414634146,0.6829268292682927,0.6341463414634146,0.7073170731707317,0.7804878048780488,0.7073170731707317,0.7317073170731707,0.6829268292682927,0.7073170731707317,0.7560975609756098,0.7804878048780488,0.6585365853658537,0.7804878048780488,0.7560975609756098,0.8780487804878049,0.8048780487804879,0.8536585365853658,0.7317073170731707
32,0.7345132743362832,0.7345132743362832,0.7566371681415929,0.7345132743362832,0.7433628318584071,0.7389380530973452,0.7345132743362832,0.7345132743362832,0.26548672566371684,0.7256637168141593,0.7345132743362832,0.7522123893805309,0.7920353982300885,0.7920353982300885,0.8053097345132744,0.7300884955752213,0.7345132743362832,0.7920353982300885,0.7345132743362832,0.7654867256637168,0.8141592920353983,0.7699115044247787,0.8097345132743363,0.7477876106194691,0.8185840707964602,0.8097345132743363
35,1.0,1.0,1.0,1.0,0.5128205128205128,1.0,0.5128205128205128,0.9743589743589743,0.5128205128205128,0.8461538461538461,0.5128205128205128,1.0,1.0,1.0,1.0,0.9487179487179487,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,1.0
